L1,7,0.007865,L1,30,0.036496,,WhiteUP,767,BlackUP,123,
L2,6,0.006742,L2,40,0.048662,,WhiteDB,577,BlackDB,245,
L3,9,0.010112,L3,69,0.083942,,,0.7522816167,,0.5020408163,0.3776760769
L4,44,0.049438,L4,84,0.10219,,,,,,
L5,25,0.02809,L5,65,0.079075,,,,,,
L6,30,0.033708,L6,66,0.080292,,,,,,
L7,28,0.031461,L7,49,0.059611,,,,,,
L8,40,0.044944,L8,40,0.048662,,,,,,
L9,27,0.030337,L9,36,0.043796,,,,,,
L10,50,0.05618,L10,30,0.036496,,,,,,
L11,11,0.01236,L11,22,0.026764,,,,,,
L12,84,0.094382,L12,12,0.014599,,,,,,
L13,52,0.058427,L13,0,0,,,,,,
L14,14,0.01573,L14,0,0,,,,,,
L15,0,0,L15,0,0,,,,,,
L16,16,0.017978,L16,0,0,,,,,,
L17,34,0.038202,L17,34,0.041363,,,,,,
L18,18,0.020225,L18,0,0,,,,,,
L19,0,0,L19,0,0,,,,,,
L20,20,0.022472,L20,0,0,,,,,,
L21,21,0.023596,L21,0,0,,,,,,
L22,44,0.049438,L22,0,0,,,,,,
L23,23,0.025843,L23,0,0,,,,,,
L24,24,0.026966,L24,0,0,,,,,,
L25,0,0,L25,0,0,,,,,,
L26,52,0.058427,L26,0,0,,,,,,
L27,0,0,L27,0,0,,,,,,
L28,28,0.031461,L28,0,0,,,,,,
L29,0,0,L29,0,0,,,,,,
L30,60,0.067416,L30,0,0,,,,,,
L31,0,0,L31,0,0,,,,,,
L32,0,0,L32,0,0,,,,,,
L33,0,0,L33,0,0,,,,,,
L34,0,0,L34,0,0,,,,,,
L35,0,0,L35,0,0,,,,,,
L36,0,0,L36,0,0,,,,,,
L37,0,0,L37,0,0,,,,,,
L38,0,0,L38,0,0,,,,,,
L39,0,0,L39,0,0,,,,,,
L40,0,0,L40,0,0,,,,,,
L41,10,0.011236,L41,35,0.042579,,,,,,
L42,26,0.029213,L42,60,0.072993,,,,,,
L43,48,0.053933,L43,60,0.072993,,,,,,
L44,24,0.026966,L44,32,0.038929,,,,,,
L45,15,0.016854,L45,10,0.012165,,,,,,
L46,0,0,L46,24,0.029197,,,,,,
L47,0,0,L47,7,0.008516,,,,,,
L48,0,0,L48,8,0.009732,,,,,,
L49,0,0,L49,9,0.010949,,,,,,
L50,0,0,L50,0,0,,,,,,
L51,0,0,L51,0,0,,,,,,
L52,0,0,L52,0,0,,,,,,
L53,0,0,L53,0,0,,,,,,
L54,0,0,L54,0,0,,,,,,
L55,0,0,L55,0,0,,,,,,
L56,0,0,L56,0,0,,,,,,
L57,0,0,L57,0,0,,,,,,
L58,0,0,L58,0,0,,,,,,
L59,0,0,L59,0,0,,,,,,
L60,0,0,L60,0,0,,,,,,
L61,0,0,L61,0,0,,,,,,
L62,0,0,L62,0,0,,,,,,
L63,0,0,L63,0,0,,,,,,
L64,0,0,L64,0,0,,,,,,
L65,0,0,L65,0,0,,,,,,
L66,0,0,L66,0,0,,,,,,
L67,0,0,L67,0,0,,,,,,
L68,0,0,L68,0,0,,,,,,
L69,0,0,L69,0,0,,,,,,
L70,0,0,L70,0,0,,,,,,
L71,0,0,L71,0,0,,,,,,
L72,0,0,L72,0,0,,,,,,
L73,0,0,L73,0,0,,,,,,
L74,0,0,L74,0,0,,,,,,
L75,0,0,L75,0,0,,,,,,
L76,0,0,L76,0,0,,,,,,
L77,0,0,L77,0,0,,,,,,
L78,0,0,L78,0,0,,,,,,
L79,0,0,L79,0,0,,,,,,
L80,0,0,L80,0,0,,,,,,
Total,890,Total,822,,,,,,,,
0.570203,,,,,,,,,,,
