4.7507,5017
5.3872,23
6.0498,1332
6.2884,363
6.5837,236
7.4848,4
7.8498,856
9.4718,6
9.8131,61
9.9533,194
10.6868,4
10.8006,234
11.1766,118
12.2128,20
12.3382,650
12.373,9
13.237,35
14.1382,129
14.5031,6
14.5255,2
14.7078,71
14.8237,131
14.8591,41
15.0321,636
15.5217,89
15.9273,32
16.003099,19
16.0555,74
16.2285,30
16.879101,2
16.963499,63
16.975201,12
17.089001,32
17.6,20
17.6098,30
18.1717,3
18.383301,4
18.796499,16
19.0263,153
20.188,6
20.210899,2
20.2724,44
20.908899,53
21.3881,27
21.4074,117
21.629801,1
22.1054,24
22.1616,7
22.3106,285
22.3508,58
22.7089,16
22.881901,298
23.547199,20
23.7771,42
24.9387,18
25.6597,29
26.8561,6
28.060699,15
28.758699,15
33.091,8
33.509399,8
