95) 2_Blotch_s4_016: 0 | 2_Blotch_s4_016: 1
96) 2_Blotch_s4_017: 0 | 2_Blotch_s4_017: 1
97) 2_Blotch_s4_018: 0 | 2_Blotch_s4_018: 1
98) 3_Incomp-Disc_s1_000: 0 | 3_Incomp-Disc_s1_000: 6
99) 3_Incomp-Disc_s2_000: 159 | 3_Incomp-Disc_s2_000: 37
100) 3_Incomp-Disc_s2_001: 20 | 3_Incomp-Disc_s2_001: 18
101) 3_Incomp-Disc_s2_002: 0 | 3_Incomp-Disc_s2_002: 13
102) 3_Incomp-Disc_s2_003: 0 | 3_Incomp-Disc_s2_003: 5
103) 3_Incomp-Disc_s3_000: 33 | 3_Incomp-Disc_s3_000: 0
104) 4_Comp-Disc_s2_000: 0 | 4_Comp-Disc_s2_000: 105
105) 4_Comp-Disc_s4_000: 34 | 4_Comp-Disc_s4_000: 0
106) 5_Incomp-Donut_s2_000: 1295 | 5_Incomp-Donut_s2_000: 102
107) 5_Incomp-Donut_s3_000: 7119 | 5_Incomp-Donut_s3_000: 7712
108) 5_Incomp-Donut_s3_001: 0 | 5_Incomp-Donut_s3_001: 29
109) 5_Incomp-Donut_s4_000: 1060 | 5_Incomp-Donut_s4_000: 3323
110) 5_Incomp-Donut_s4_001: 6 | 5_Incomp-Donut_s4_001: 0
111) 7_Excavated_s2_000: 0 | 7_Excavated_s2_000: 163
112) 7_Excavated_s2_001: 0 | 7_Excavated_s2_001: 136
113) 7_Excavated_s3_000: 0 | 7_Excavated_s3_000: 344
