1,165
2,167
3,168
4,168
5,168
6,164
7,165
8,165
9,164
10,157
11,154
12,149
13,153
14,160
15,167
16,169
17,170
18,172
19,174
20,172
21,171
22,168
23,164
24,159
25,147
26,141
27,150
28,159
29,155
30,154
31,156
32,152
33,176
34,180
35,186
36,192
37,190
38,190
39,184
40,190
41,186
42,188
43,182
44,179
45,185
46,189
47,186
48,191
49,191
50,186
51,192
52,195
53,195
54,196
55,189
56,186
57,195
58,195
59,197
60,195
61,195
62,183
63,192
64,196
65,193
66,188
67,186
68,185
69,189
70,186
71,184
72,183
73,177
74,167
75,129
76,149
77,151
78,158
79,158
80,164
81,166
82,168
83,170
84,171
85,171
86,166
87,171
88,172
89,171
90,171
91,171
92,172
93,171
94,170
95,171
96,171
97,171
98,171
99,170
100,168
101,158
102,162
103,152
104,158
105,150
106,159
107,169
108,169
109,175
110,183
111,183
112,182
113,179
114,169
115,167
116,158
117,160
118,165
119,151
120,151
121,156
122,157
123,162
124,163
125,167
126,170
127,173
128,171
129,171
130,169
131,170
132,171
133,171
134,171
135,170
136,171
137,170
138,168
139,172
140,172
