photo1a,0.000000,-1
photo1b,0.600000,0
photo3a,0.860000,1
tinea_corporis7b,1.170000,1
photo7b,1.200000,1
photo7a,1.210000,1
melanoma9,1.210000,1
photo6a,1.230000,1
melanoma10,1.270000,1
melanoma8a,1.310000,1
photo2b,1.340000,1
photo3b,1.340000,1
melanoma8c,1.340000,1
photo2a,1.340000,1
melanoma8b,1.370000,1
clp10,1.420000,1
tinea_corporis7a,1.430000,1
vitiligo3,1.430000,1
clp3,1.450000,1
clp5,1.460000,1
acne12,1.460000,1
tinea_corporis2,1.460000,1
melanoma7,1.480000,1
vitiligo2,1.480000,1
tinea_corporis5,1.480000,1
melanoma3,1.500000,1
acne11,1.510000,1
clp4,1.510000,1
lph1,1.520000,1
herpes12,1.530000,1
annular_psoriasis3,1.540000,1
annular_psoriasis1,1.550000,1
psoriasis19b,1.550000,1
acne_vulgaris2,1.560000,1
acne_excoriee1,1.580000,1
vesicles25,1.580000,1
psoriasis18,1.580000,1
acne_vulgaris1,1.600000,1
psoriasis17,1.610000,1
clp11,1.620000,1
acne3,1.620000,1
psoriasis22,1.620000,1
photo6b,1.630000,1
melanoma5,1.640000,1
psoriasis21b,1.650000,1
acne_excoriee2,1.650000,1
melanoma4,1.650000,1
vesicles18,1.650000,1
herpes3,1.650000,1
herpes10,1.660000,1
tinea_corporis8b,1.680000,1
tinea_corporis1,1.680000,1
photo5a,1.700000,1
herpes13,1.710000,1
herpes5,1.720000,1
acne_vulgaris5,1.730000,1
melanoma6,1.730000,1
herpes6,1.740000,1
herpes1,1.740000,1
urticaria1,1.770000,1
erythrodermic_psoriasis2,1.790000,1
lph15,1.790000,1
tinea_corporis8a,1.790000,1
photo4a,1.790000,1
acne_vulgaris3,1.790000,1
urticaria5,1.800000,1
tinea_corporis9,1.820000,1
psoriasis6,1.820000,1
vesicles2,1.830000,1
lph16,1.830000,1
acne2,1.830000,1
lph9,1.840000,1
acne1,1.850000,1
erythrodermic_psoriasis1,1.860000,1
psoriasis21a,1.860000,1
photo5b,1.860000,1
herpes_simplex1,1.860000,1
tinea_corporis3,1.910000,1
lph4,1.930000,1
herpes_zoster1,1.940000,1
psoriasis20b,1.940000,1
psoriasis19a,1.950000,1
urticaria8,1.960000,1
lph7,1.970000,1
herpes11,1.970000,1
tinea_corporis10,1.980000,1
acne_fulminans2,1.990000,1
tinea_corporis4,2.010000,1
urticaria7,2.040000,1
psoriasis20a,2.040000,1
acne_vulgaris4,2.040000,1
lph8,2.050000,1
tinea_corporis13a,2.140000,1
herpes_zoster2,2.170000,1
melanoma2,2.200000,1
urticaria2,2.210000,1
acne_fulminans1,2.230000,1
psoriasis1,2.280000,1
psoriasis2,2.370000,1
photo4b,2.370000,1
tinea_corporis6,2.400000,1
psoriasis16,2.410000,1
psoriasis10,2.610000,1
herpes_zoster3,2.650000,1
tinea_corporis12,2.660000,1
vesicles9,2.680000,1
tinea_corporis11,3.070000,1
tinea_corporis13b,3.220000,1
