,0_Strip_s0_000,0_Strip_s2_000,0_Strip_s3_000,1_Excavated_s3_000,2_Default_s1_000,2_Default_s2_000,2_Default_s2_001,2_Default_s2_002,2_Default_s3_000,2_Default_s3_001,3_Blotch_s2_000,3_Blotch_s2_001,3_Blotch_s4_000,4_Incomp_Disc_s0_000,4_Incomp_Disc_s1_000,4_Incomp_Disc_s1_001,4_Incomp_Disc_s2_000,4_Incomp_Disc_s2_001,4_Incomp_Disc_s2_002,4_Incomp_Disc_s2_003,4_Incomp_Disc_s2_004,4_Incomp_Disc_s2_005,4_Incomp_Disc_s2_006,4_Incomp_Disc_s3_000,4_Incomp_Disc_s3_001,4_Incomp_Disc_s3_002,4_Incomp_Disc_s4_000,5_Comp_Disc_s3_000,5_Comp_Disc_s4_000,5_Comp_Disc_s4_001,6_Incomp_Donut_s0_000,6_Incomp_Donut_s1_000,6_Incomp_Donut_s1_001,6_Incomp_Donut_s2_000,6_Incomp_Donut_s3_000,7_Comp_Donut_s2_000,7_Comp_Donut_s3_000,7_Comp_Donut_s4_000,
4_Incomp_Disc_s3_001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
4_Incomp_Disc_s3_002,NULL,SURR_BY,NULL,NULL,NULL,NULL,NULL,NULL,SURR_BY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
4_Incomp_Disc_s4_000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
5_Comp_Disc_s3_000,NULL,NULL,NULL,NULL,NULL,SURR_BY,NULL,NULL,SURR_BY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
5_Comp_Disc_s4_000,NULL,NULL,NULL,NULL,NULL,SURR_BY,NULL,NULL,SURR_BY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INDIR,INDIR,NULL,NULL,INDIR,NULL,NULL,NULL,
5_Comp_Disc_s4_001,NULL,SURR_BY,NULL,SURR_BY,NULL,NULL,NULL,NULL,SURR_BY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INDIR,NULL,NULL,NULL,NULL,NULL,
6_Incomp_Donut_s0_000,NULL,NULL,NULL,NULL,NULL,SURR_BY,NULL,NULL,SURR_BY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INDIR,NULL,NULL,SURR_BY_INV,NULL,NULL,INDIR,NULL,NULL,NULL,
6_Incomp_Donut_s1_000,NULL,NULL,NULL,NULL,NULL,SURR_BY,NULL,NULL,SURR_BY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INDIR,NULL,SURR_BY,NULL,NULL,NULL,SURR_BY_INV,NULL,NULL,NULL,
6_Incomp_Donut_s1_001,NULL,SURR_BY,NULL,INDIR,NULL,NULL,NULL,NULL,INDIR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INDIR,NULL,NULL,NULL,NULL,NULL,INDIR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
6_Incomp_Donut_s2_000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SURR_BY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
6_Incomp_Donut_s3_000,NULL,NULL,NULL,NULL,NULL,SURR_BY,NULL,NULL,SURR_BY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INDIR,NULL,INDIR,SURR_BY,NULL,NULL,NULL,NULL,NULL,NULL,
7_Comp_Donut_s2_000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
7_Comp_Donut_s3_000,NULL,NULL,NULL,NULL,INDIR,SURR_BY,NULL,NULL,SURR_BY,NULL,NULL,NULL,NULL,NULL,NULL,INDIR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SURR_BY_INV,
7_Comp_Donut_s4_000,NULL,NULL,NULL,NULL,INDIR,SURR_BY,NULL,NULL,SURR_BY,NULL,NULL,NULL,NULL,NULL,NULL,INDIR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SURR_BY,NULL,
