0,7389,,0
4.75074,5207,,24737.10318
5.387233,18,,96.970194
6.049836,1456,,8808.561216
6.288374,360,,2263.81464
6.583695,220,,1448.4129
7.849776,951,,7465.136976
9.471842,51,,483.063942
9.813139,61,,598.601479
9.9533,197,,1960.8001
10.686833,131,,1399.975123
11.176557,1118,,12495.390726
12.212795,317,,3871.456015
13.424197,172,,2308.961884
13.642874,26,,354.714724
14.525507,8,,116.204056
14.707756,54,,794.218824
14.823691,224,,3320.506784
15.032076,546,,8207.513496
16.270363,8,,130.162904
16.963461,3,,50.890383
17.609808,7,,123.268656
17.772141,241,,4283.085981
18.383272,22,,404.431984
19.296101,19,,366.625919
19.92564,2,,39.85128
20.160751,17,,342.732767
21.016258,475,,9982.72255
22.310631,300,,6693.1893
,,,
,12211,,8.4471679619
